System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:37:39:710, 5992262145874,    0.107,   18.000, 3800,   3.773,   0.402,   0.112,   1.124,   0.120,   0.033, 48,  0,   0.000,   0.000,   0.000,   0.029,   0.003,   0.001,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  87.345
16:37:39:820, 5992529248093,    0.217,   10.000, 1100,   3.411,   0.779,   0.216,   1.227,   0.255,   0.071, 48,  0,   0.000,   0.000,   0.000,   0.046,   0.008,   0.002,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  80.907
16:37:39:928, 5992790320219,    0.325,   13.000, 1100,   3.319,   1.137,   0.316,   0.969,   0.360,   0.100, 48,  0,   0.000,   0.000,   0.000,   0.012,   0.010,   0.003,  60.000,  60.000, 105.000,   0.000,   0.000,    8,  89.483
16:37:40:037, 5993053201449,    0.434,   17.000, 3800,   9.343,   2.152,   0.598,   6.354,   1.050,   0.292, 49,  0,   0.000,   0.000,   0.000,   0.008,   0.010,   0.003,  60.000,  60.000, 105.000,   0.000,   0.000,    5,  75.024
16:37:40:148, 5993322619205,    0.545,   13.000, 2600,   5.260,   2.738,   0.761,   2.073,   1.281,   0.356, 48,  0,   0.000,   0.000,   0.000,   0.000,   0.010,   0.003,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  74.434
16:37:40:264, 5993600901516,    0.660,   10.000, 3800,   4.170,   3.218,   0.894,   1.788,   1.487,   0.413, 49,  0,   0.000,   0.000,   0.000,   0.038,   0.015,   0.004,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  72.317
16:37:40:377, 5993876202414,    0.774,    9.000, 1100,   4.953,   3.781,   1.050,   2.897,   1.817,   0.505, 48,  0,   0.000,   0.000,   0.000,   0.172,   0.034,   0.010,  60.000,  60.000, 105.000,   0.000,   0.000,   17,  81.538
16:37:40:485, 5994137406238,    0.882,    6.000, 1100,   2.787,   4.082,   1.134,   0.490,   1.869,   0.519, 48,  0,   0.000,   0.000,   0.000,   0.067,   0.042,   0.012,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  88.838
16:37:40:594, 5994402550782,    0.991,    8.000, 1200,   4.125,   4.534,   1.260,   1.220,   2.003,   0.556, 48,  0,   0.000,   0.000,   0.000,   0.006,   0.042,   0.012,  60.000,  60.000, 105.000,   0.000,   0.000,    7,  89.890
16:37:40:718, 5994700740872,    1.115,   20.000, 1200,   2.404,   4.831,   1.342,   0.580,   2.075,   0.576, 48,  0,   0.000,   0.000,   0.000,   0.041,   0.047,   0.013,  60.000,  60.000, 105.000,   0.000,   0.000,    4,  86.232
16:37:40:811, 5994926924957,    1.208,    5.000, 1100,   2.004,   5.018,   1.394,   0.459,   2.118,   0.588, 47,  0,   0.000,   0.000,   0.000,   0.071,   0.054,   0.015,  60.000,  60.000, 105.000,   0.000,   0.000,   17,  89.886
16:37:40:920, 5995191238150,    1.317,    5.000, 1100,   2.132,   5.251,   1.459,   0.472,   2.169,   0.603, 48,  0,   0.000,   0.000,   0.000,   0.042,   0.058,   0.016,  60.000,  60.000, 105.000,   0.000,   0.000,    5,  74.266
16:37:41:030, 5995455902181,    1.427,    5.000, 1100,   1.488,   5.414,   1.504,   0.326,   2.205,   0.612, 48,  0,   0.000,   0.000,   0.000,   0.032,   0.062,   0.017,  60.000,  60.000, 105.000,   0.000,   0.000,    1,  66.761
16:37:41:139, 5995719734443,    1.536,   22.000, 1400,  12.487,   6.775,   1.882,   9.383,   3.228,   0.897, 58,  0,   0.000,   0.000,   0.000,   0.186,   0.082,   0.023,  60.000,  60.000, 105.000,   0.000,   0.000,   35,  84.381
16:37:41:249, 5995986040276,    1.646,   19.000, 3800,  13.353,   8.245,   2.290,  10.207,   4.352,   1.209, 62,  0,   0.000,   0.000,   0.000,   0.004,   0.083,   0.023,  60.000,  60.000, 105.000,   0.000,   0.000,   12,  91.038
16:37:41:360, 5996254069214,    1.757,   17.000, 3800,  13.465,   9.737,   2.705,  10.268,   5.489,   1.525, 62,  0,   0.000,   0.000,   0.000,   0.056,   0.089,   0.025,  60.000,  60.000, 105.000,   0.000,   0.000,    2,  81.653
16:37:41:470, 5996520610297,    1.867,   17.000, 3800,  14.220,  11.304,   3.140,  10.555,   6.652,   1.848, 62,  0,   0.000,   0.000,   0.000,   0.000,   0.089,   0.025,  60.000,  60.000, 105.000,   0.000,   0.000,    1,  71.581
16:37:41:581, 5996788209451,    1.977,   17.000, 3800,  12.913,  12.732,   3.537,   9.664,   7.721,   2.145, 57,  0,   0.000,   0.000,   0.000,   0.002,   0.089,   0.025,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  77.863
16:37:41:693, 5997058951344,    2.089,   18.000, 3800,  13.147,  14.204,   3.945,   9.878,   8.827,   2.452, 58,  0,   0.000,   0.000,   0.000,   0.035,   0.093,   0.026,  60.000,  60.000, 105.000,   0.000,   0.000,    8,  82.752
