System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:39:43:605, 6291989927914,    0.111,   10.000, 1100,   3.035,   0.336,   0.093,   1.094,   0.121,   0.034, 46,  0,   0.000,   0.000,   0.000,   0.066,   0.007,   0.002,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  85.122
16:39:43:726, 6292283936534,    0.232,   17.000, 4200,   6.666,   1.146,   0.318,   3.964,   0.603,   0.167, 53,  0,   0.000,   0.000,   0.000,   0.129,   0.023,   0.006,  60.000,  60.000, 105.000,   0.000,   0.000,   11,  88.253
16:39:43:823, 6292518457694,    0.329,    9.000, 1100,   4.117,   1.545,   0.429,   1.471,   0.745,   0.207, 47,  0,   0.000,   0.000,   0.000,   0.034,   0.026,   0.007,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  85.683
16:39:43:933, 6292782423531,    0.438,   20.000, 3800,   5.900,   2.189,   0.608,   3.110,   1.085,   0.301, 46,  0,   0.000,   0.000,   0.000,   0.047,   0.031,   0.009,  60.000,  60.000, 105.000,   0.000,   0.000,    3,  71.535
16:39:44:059, 6293090104245,    0.565,    9.000, 3800,   3.642,   2.652,   0.737,   1.170,   1.234,   0.343, 47,  0,   0.000,   0.000,   0.000,   0.010,   0.033,   0.009,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  65.795
16:39:44:151, 6293311354199,    0.657,   10.000, 1200,   5.881,   3.190,   0.886,   3.164,   1.523,   0.423, 48,  0,   0.000,   0.000,   0.000,   0.252,   0.056,   0.015,  60.000,  60.000, 105.000,   0.000,   0.000,   16,  75.479
16:39:44:260, 6293574401168,    0.766,   10.000, 1200,   2.643,   3.478,   0.966,   0.801,   1.610,   0.447, 47,  0,   0.000,   0.000,   0.000,   0.018,   0.058,   0.016,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  85.709
16:39:44:369, 6293837578167,    0.874,    6.000, 1100,   1.965,   3.691,   1.025,   0.442,   1.658,   0.461, 47,  0,   0.000,   0.000,   0.000,   0.040,   0.062,   0.017,  60.000,  60.000, 105.000,   0.000,   0.000,    7,  89.272
16:39:44:476, 6294096188895,    0.981,   11.000, 1300,   3.266,   4.041,   1.122,   1.016,   1.767,   0.491, 46,  0,   0.000,   0.000,   0.000,   0.008,   0.063,   0.017,  60.000,  60.000, 105.000,   0.000,   0.000,    7,  83.119
16:39:44:587, 6294365096312,    1.093,   15.000, 2900,   6.475,   4.760,   1.322,   3.434,   2.149,   0.597, 48,  0,   0.000,   0.000,   0.000,   0.014,   0.064,   0.018,  60.000,  60.000, 105.000,   0.000,   0.000,    1,  79.413
16:39:44:694, 6294624437020,    1.200,    9.000, 2400,   3.418,   5.127,   1.424,   0.849,   2.240,   0.622, 47,  0,   0.000,   0.000,   0.000,   0.147,   0.080,   0.022,  60.000,  60.000, 105.000,   0.000,   0.000,   12,  83.252
16:39:44:804, 6294891137978,    1.310,   22.000, 3800,  12.778,   6.535,   1.815,   8.848,   3.215,   0.893, 58,  0,   0.000,   0.000,   0.000,   0.217,   0.104,   0.029,  60.000,  60.000, 105.000,   0.000,   0.000,   30,  89.483
16:39:44:914, 6295156334780,    1.420,   17.000, 3800,  14.316,   8.105,   2.251,  11.139,   4.436,   1.232, 55,  0,   0.000,   0.000,   0.000,   0.000,   0.104,   0.029,  60.000,  60.000, 105.000,   0.000,   0.000,    5,  82.485
16:39:45:026, 6295426469953,    1.531,   20.000, 3400,  15.266,   9.809,   2.725,  11.651,   5.737,   1.594, 56,  0,   0.000,   0.000,   0.000,   0.000,   0.104,   0.029,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  66.945
16:39:45:135, 6295692064445,    1.641,   19.000, 3800,  14.421,  11.393,   3.165,  10.795,   6.922,   1.923, 59,  0,   0.000,   0.000,   0.000,   0.000,   0.104,   0.029,  60.000,  60.000, 105.000,   0.000,   0.000,  424,  77.663
16:39:45:248, 6295963678580,    1.753,   17.000, 3700,  12.955,  12.847,   3.569,   9.714,   8.013,   2.226, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.104,   0.029,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  74.078
16:39:45:358, 6296230862077,    1.864,   18.000, 3800,  14.534,  14.452,   4.015,  11.064,   9.235,   2.565, 66,  0,   0.000,   0.000,   0.000,   0.203,   0.127,   0.035,  60.000,  60.000, 105.000,   0.000,   0.000,   14,  78.883
16:39:45:469, 6296498572729,    1.974,   14.000, 3800,  15.001,  16.112,   4.476,  11.804,  10.541,   2.928, 66,  0,   0.000,   0.000,   0.000,   0.000,   0.127,   0.035,  60.000,  60.000, 105.000,   0.000,   0.000,  217,  55.012
16:39:45:570, 6296745389858,    2.076,   17.000, 4200,  15.214,  17.664,   4.907,  12.004,  11.766,   3.268, 61,  0,   0.000,   0.000,   0.000,   0.000,   0.127,   0.035,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  75.967
16:39:45:691, 6297035535823,    2.196,   15.000, 3800,  14.983,  19.461,   5.406,  11.784,  13.179,   3.661, 64,  0,   0.000,   0.000,   0.000,   0.000,   0.127,   0.035,  60.000,  60.000, 105.000,   0.000,   0.000,    2,  77.816
16:39:45:801, 6297301716875,    2.306,   18.000, 3800,  16.004,  21.222,   5.895,  12.727,  14.580,   4.050, 68,  0,   0.000,   0.000,   0.000,   0.063,   0.134,   0.037,  60.000,  60.000, 105.000,   0.000,   0.000,    7,  82.455
16:39:45:896, 6297532448998,    2.402,   15.000, 3800,  15.498,  22.701,   6.306,  11.671,  15.693,   4.359, 63,  0,   0.000,   0.000,   0.000,   0.070,   0.140,   0.039,  60.000,  60.000, 105.000,   0.000,   0.000,   13,  83.791
16:39:46:021, 6297835809594,    2.527,   16.000, 3800,  15.104,  24.595,   6.832,  11.921,  17.187,   4.774, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.140,   0.039,  60.000,  60.000, 105.000,   0.000,   0.000,  220,  54.514
16:39:46:131, 6298100327884,    2.637,   14.000, 1500,  14.746,  26.207,   7.280,  11.528,  18.448,   5.124, 66,  0,   0.000,   0.000,   0.000,   0.000,   0.140,   0.039,  60.000,  60.000, 105.000,   0.000,   0.000,    0,  74.690
16:39:46:241, 6298366855099,    2.747,   14.000, 1200,   9.351,  27.237,   7.566,   6.185,  19.129,   5.314, 50,  0,   0.000,   0.000,   0.000,   0.222,   0.165,   0.046,  60.000,  60.000, 105.000,   0.000,   0.000,   15,  78.035
16:39:46:364, 6298664492104,    2.870,    5.000, 1100,   1.940,  27.476,   7.632,   0.417,  19.181,   5.328, 48,  0,   0.000,   0.000,   0.000,   0.043,   0.170,   0.047,  60.000,  60.000, 105.000,   0.000,   0.000,    3,  78.934
16:39:46:473, 6298928317466,    2.979,    5.000, 1100,   1.760,  27.668,   7.685,   0.359,  19.220,   5.339, 48,  0,   0.000,   0.000,   0.000,   0.032,   0.173,   0.048,  60.000,  60.000, 105.000,   0.000,   0.000,    9,  73.878
16:39:46:582, 6299193315022,    3.088,    5.000, 1100,   1.543,  27.837,   7.732,   0.361,  19.259,   5.350, 47,  0,   0.000,   0.000,   0.000,   0.018,   0.175,   0.049,  60.000,  60.000, 105.000,   0.000,   0.000,    2,  69.736
16:39:46:691, 6299455678102,    3.197,    5.000, 1000,   1.985,  28.052,   7.792,   0.416,  19.305,   5.362, 49,  0,   0.000,   0.000,   0.000,   0.009,   0.176,   0.049,  60.000,  60.000, 105.000,   0.000,   0.000,    1,  73.076
16:39:46:789, 6299693097394,    3.295,   15.000, 3800,   4.304,  28.474,   7.910,   2.120,  19.513,   5.420, 50,  0,   0.000,   0.000,   0.000,   0.009,   0.177,   0.049,  60.000,  60.000, 105.000,   0.000,   0.000,    5,  91.338
16:39:46:855, 6299851486210,    3.360,    7.000, 2400,   5.176,  28.813,   8.004,   2.678,  19.688,   5.469, 48,  0,   0.000,   0.000,   0.000,   0.155,   0.187,   0.052,  60.000,  60.000, 105.000,   0.000,   0.000,   19,  81.417

Total Elapsed Time (sec) = 3.360368
Measured RDTSC Frequency (GHz) = 2.419

Cumulative Processor Energy_0 (Joules) = 28.813354
Cumulative Processor Energy_0 (mWh) = 8.003710
Average Processor Power_0 (Watt) = 8.574463

Cumulative IA Energy_0 (Joules) = 19.687866
Cumulative IA Energy_0 (mWh) = 5.468852
Average IA Power_0 (Watt) = 5.858841

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.187378
Cumulative GT Energy_0 (mWh) = 0.052049
Average GT Power_0 (Watt) = 0.055761
